Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",87.250000,-40.950000,90.000000,top
"C2","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.050000,-47.000000,90.000000,top
"C3","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",101.000000,-47.300000,90.000000,top
"C4","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.050000,-43.450000,180.000000,top
"C5","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.950000,-48.500000,90.000000,top
"C6","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.950000,-46.562500,90.000000,top
"C7","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",107.350000,-45.800000,90.000000,top
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.050000,-41.350000,180.000000,top
"C9","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",105.250000,-45.800000,90.000000,top
"C10","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",103.150000,-46.800000,90.000000,top
"C11","4.7uF 50V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",73.800000,-46.137500,-90.000000,top
"C12","4.7uF","C_0603_1608Metric",97.200000,-46.600000,90.000000,top
"D1","MBR0530","D_SOD-123",82.700000,-43.950000,0.000000,top
"D2","MBR0530","D_SOD-123",82.700000,-46.350000,180.000000,top
"D3","MBR0530","D_SOD-123",82.700000,-41.550000,180.000000,top
"J1","AFC24-S24FIC-00","AFC24-S24FIC-00",97.600000,-39.004399,180.000000,top
"JP1","selector","switch-MK-12C02-G020",107.190000,-50.740000,0.000000,top
"L1","10uH","SWPA4030S1R0NT",77.550000,-45.050000,90.000000,top
"Q1","Si1308","SOT-323_SC-70",91.200000,-47.200000,-90.000000,top
"R1","10K","R_0603_1608Metric",88.000000,-47.550000,180.000000,top
"R2","0.47R","R_0603_1608Metric",100.700000,-50.750000,90.000000,top
"R3","3R","R_0603_1608Metric",113.250000,-50.600000,0.000000,top
